time stamp,pos x,pos y,pos z
0.009869658948072646,0.0,0.0,0.0
0.04716603572112254,0.00244706342155,-0.000106699903772,0.0199461859746
0.08563745316264003,0.00244706342155,-0.000106699903772,0.0199461859746
0.12280981208735976,0.0,0.0,0.0
0.1606750780729333,0.0,0.0,0.0
0.19929070892982553,0.0,0.0,0.0
0.23835405559697387,0.0,0.0,0.0
0.275974414776556,0.0,0.0,0.0
0.31278581349592943,0.00244706342155,-0.000106699903772,0.0199461859746
0.35008588804886076,0.0,0.0,0.0
0.38800150072974265,0.0,0.0,0.0
0.4249983573323988,0.00244706342155,-0.000106699903772,0.0199461859746
0.4643600863915158,0.0,0.0,0.0
0.5030761261944184,0.0,0.0,0.0
0.5410995433810735,0.0,0.0,0.0
0.5803409523717418,0.0,0.0,0.0
0.6182261294797536,0.00244706342155,-0.000106699903772,0.0199461859746
0.6563001778063233,0.0,0.0,0.0
0.6951291421179119,0.00244706342155,-0.000106699903772,0.0199461859746
0.7331761682068868,0.0,0.0,0.0
0.7719860747298558,0.0,0.0,0.0
0.8104816699629055,0.00244706342155,-0.000106699903772,0.0199461859746
0.8484536026758273,0.0,0.0,0.0
0.8850835257364057,0.0,0.0,0.0
0.9224251292018513,0.0,0.0,0.0
0.9611841201402994,0.00244706342155,-0.000106699903772,0.0199461859746
0.9989518216259251,0.0,0.0,0.0
1.0359242159924429,0.0,0.0,0.0
1.0740360954516455,0.0,0.0,0.0
1.1119201347812322,0.0,0.0,0.0
1.1507206546321946,0.0,0.0,0.0
1.1895271478198886,0.00244706342155,-0.000106699903772,0.0199461859746
