time stamp,pos x,pos y,pos z
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0149340973371
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
